IDs,Networks,Ratings
1168,Canal+,7.5
1169,France 2,
1170,Travel Channel,
1171,truTV,
1172,Lifetime,
1173,Lifetime,
1174,TeenNick,
1175,A&E,8.6
1176,NBC,6.4
1177,Hallmark Channel,8.4
1178,NBC,6.9
1179,FOX,7.5
1180,H2,
1181,TLC,
1182,Investigation Discovery,
1183,Destination America,
1184,Travel Channel,8.1
1185,Investigation Discovery,
1186,REELZ,
1187,NBC,
1189,TLC,
1190,Investigation Discovery,
1191,TLC,
1192,H2,
1193,Investigation Discovery,
1194,Animal Planet,
1195,Discovery Channel,8.7
1196,Investigation Discovery,
1197,Travel Channel,7.5
1198,Food Network,6.5
1200,History,
1201,Travel Channel,8.9
1202,Discovery Channel,
1203,TLC,8.1
1204,Investigation Discovery,6.9
1205,VH1,
1206,Lifetime,4.2
1207,Bravo,
1208,Discovery Channel,6.5
1209,History,6.8
1210,HBO,8.2
1211,ABC,7.3
1212,BBC America,6.7
1213,Null,8.3
1214,BBC One,8.0
1215,NPO 3,
1216,Null,8.6
1217,CBS,6.8
1218,HBO,5.7
1220,BBC One,7.8
1221,ABC,8.0
1222,Showtime,8.2
1224,ZDF,8.7
1225,ABC,6.9
1226,HBO Latin America,
1227,NBC,7.8
1228,NPO 3,7.9
1229,BBC One,7.4
1230,NBC,8.0
1231,Discovery Channel,
1232,Null,
1234,FOX,6.4
1235,AMC,7.3
1236,TNT,8.0
1237,Paramount Network,7.4
1238,REELZ,7.8
1239,FOX,7.0
1240,HBO,8.4
1241,CBS,7.1
1242,Sky Atlantic,8.1
1243,History,8.4
1244,ABC,6.0
1245,NBC,7.4
1246,Comedy Central,
1247,RTL4,
1248,NBC,6.6
1249,ABC,7.0
1250,CBS,6.3
1251,ABC,6.3
1252,NBC,5.0
1253,Syndication,
1254,ABC,8.3
1255,Teletoon,
1256,ABC,7.3
1257,BBC Two,8.3
1258,E4,7.8
1259,Cartoon Network,8.2
1260,The CW,5.5
1262,ITV,8.3
1263,Cartoon Network,
1264,Cartoon Network,
1265,ABC,6.0
1266,Cartoon Network,8.4
1267,BBC One,8.6
1268,ITV,8.7
1269,HBO,
1270,BBC Two,7.9
1271,DR1,8.0
1272,ITV,8.8
1273,Comedy Central,
1274,ABC,
1275,HBO,8.3
1276,HBO,
1277,ABC,
1278,NBC,7.0
1280,BBC One,7.4
1281,ABC,7.5
1282,ITV,8.9
1283,The Movie Network,
1284,ABC,7.3
1285,ABC,
1286,CBS,
1287,NBC,7.8
1288,ABC,
1289,ITV,
1290,ABC,7.8
1291,NBC,6.7
1292,BBC Two,7.7
1293,BBC One,
1294,ABC,8.6
1295,HBO,7.6
1296,BBC One,
1297,Nickelodeon,
1298,BBC Two,
1299,ABC ME,7.2
1300,CBBC,7.9
1301,Cartoon Network,
1302,FOX,8.2
1303,FOX,7.9
1304,UPN,7.6
1305,FOX,8.1
1306,Syndication,8.8
1307,Null,
1308,ITV,7.8
1309,NBC,
1310,ABC,
1311,TNT,
1312,ABC,
1313,CBS,6.8
1314,Oxygen,8.0
1315,Global,8.4
1316,NBC,
1317,The CW,7.8
1318,Logo TV,
1319,Syfy,
1320,NBC,7.6
1321,Paramount Network,6.9
1322,ABC,6.4
1323,ABC,7.7
1324,ABC,7.0
1325,FOX,6.4
1326,ABC,
1327,Syfy,
1328,History,
1329,Syfy,
1330,FOX,
1331,FOX,7.2
1332,Paramount Network,
1333,NBC,7.8
1335,BBC Two,8.5
1336,NBC,
1337,ABC,
1338,ABC,
1339,ITV,8.7
1340,ABC,7.8
1341,CBS,6.3
1342,Discovery Channel,7.7
1343,Investigation Discovery,
1344,Showtime,
1345,TLC,
1346,Investigation Discovery,
1347,A&E,
1348,Paramount Network,
1349,AXS TV,6.0
1350,VH1,
1351,TLC,5.4
1352,Investigation Discovery,
1353,Nicktoons,
1354,Science,
1355,FOX,6.8
1356,A&E,6.5
1357,National Geographic Channel,
1358,The CW,6.8
1362,Disney XD,7.2
1363,Channel 4,8.5
1364,Null,7.1
1365,FXX,7.2
1366,Null,7.5
1367,Null,8.3
1368,Null,7.8
1369,Null,8.4
1370,Null,7.9
1371,HBO,8.5
1372,Null,7.9
1374,Nine Network,7.3
1375,CBS,8.4
1376,één,
1377,IFC,7.0
1379,NBC,6.4
1380,NBC,6.8
1381,A&E,7.8
1382,NBC,7.1
